Name,Record,Height,Weight,Reach,STANCE,DOB,SLpM,Str.Acc,SApM,Str.Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg
 Tom Aaron Record: 5-3-0,Height:--,Weight:155 lbs.,Reach:--,STANCE:  ,"DOB:Jul 13, 1978  ",SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Danny Abbadi Record: 4-6-0,"Height:5' 11""",Weight:155 lbs.,Reach:--,STANCE:Orthodox,"DOB:Jul 03, 1983  ",SLpM:3.29,Str. Acc.:38%,SApM:4.41,Str. Def:57%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:77%,Sub. Avg.:0.0,"
"
 David Abbott Record: 10-15-0,"Height:6' 0""",Weight:265 lbs.,Reach:--,STANCE:Switch,DOB:--  ,SLpM:1.35,Str. Acc.:30%,SApM:3.55,Str. Def:38%,,TD Avg.:1.07,TD Acc.:33%,TD Def.:66%,Sub. Avg.:0.0,"
"
 Shamil Abdurakhimov Record: 20-5-0,"Height:6' 3""",Weight:235 lbs.,"Reach:76""",STANCE:Orthodox,"DOB:Sep 02, 1981  ",SLpM:2.45,Str. Acc.:44%,SApM:2.45,Str. Def:58%,,TD Avg.:1.23,TD Acc.:24%,TD Def.:47%,Sub. Avg.:0.2,"
"
 Hiroyuki Abe Record: 8-15-3 (1 NC),"Height:5' 6""",Weight:145 lbs.,Reach:--,STANCE:Orthodox,DOB:--  ,SLpM:1.71,Str. Acc.:36%,SApM:3.11,Str. Def:63%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:33%,Sub. Avg.:0.0,"
"
 Daichi Abe Record: 6-2-0,"Height:5' 11""",Weight:170 lbs.,"Reach:71""",STANCE:Orthodox,"DOB:Nov 27, 1991  ",SLpM:3.80,Str. Acc.:33%,SApM:4.49,Str. Def:56%,,TD Avg.:0.33,TD Acc.:50%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Papy Abedi Record: 10-4-0,"Height:5' 11""",Weight:185 lbs.,Reach:--,STANCE:Southpaw,"DOB:Jun 30, 1978  ",SLpM:2.80,Str. Acc.:55%,SApM:3.15,Str. Def:48%,,TD Avg.:3.47,TD Acc.:57%,TD Def.:50%,Sub. Avg.:1.3,"
"
 Ricardo Abreu Record: 5-1-0,"Height:5' 11""",Weight:185 lbs.,Reach:--,STANCE:Orthodox,"DOB:Apr 27, 1984  ",SLpM:3.79,Str. Acc.:31%,SApM:3.98,Str. Def:68%,,TD Avg.:2.13,TD Acc.:42%,TD Def.:100%,Sub. Avg.:0.7,"
"
 Klidson Abreu Record: 15-4-0 (1 NC),"Height:6' 0""",Weight:205 lbs.,"Reach:74""",STANCE:Orthodox,"DOB:Dec 24, 1992  ",SLpM:2.05,Str. Acc.:40%,SApM:2.90,Str. Def:55%,,TD Avg.:0.64,TD Acc.:20%,TD Def.:80%,Sub. Avg.:0.0,"
"
 Daniel Acacio Record: 30-18-0,"Height:5' 8""",Weight:180 lbs.,Reach:--,STANCE:Orthodox,"DOB:Dec 27, 1977  ",SLpM:3.52,Str. Acc.:36%,SApM:2.85,Str. Def:62%,,TD Avg.:0.33,TD Acc.:20%,TD Def.:81%,Sub. Avg.:0.0,"
"
 Scott Adams Record: 8-1-0,"Height:6' 0""",Weight:225 lbs.,Reach:--,STANCE:Southpaw,DOB:--  ,SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Juan Adams Record: 5-3-0,"Height:6' 5""",Weight:265 lbs.,"Reach:80""",STANCE:Orthodox,"DOB:Jan 16, 1992  ",SLpM:7.09,Str. Acc.:55%,SApM:4.06,Str. Def:34%,,TD Avg.:0.91,TD Acc.:66%,TD Def.:57%,Sub. Avg.:0.0,"
"
 Anthony Adams Record: 8-2-0,"Height:6' 1""",Weight:185 lbs.,"Reach:76""",STANCE:Orthodox,"DOB:Jan 13, 1988  ",SLpM:3.17,Str. Acc.:41%,SApM:5.93,Str. Def:44%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Zarrukh Adashev Record: 4-3-0,"Height:5' 5""",Weight:125 lbs.,"Reach:65""",STANCE:Southpaw,"DOB:Jul 29, 1992  ",SLpM:3.54,Str. Acc.:39%,SApM:2.91,Str. Def:65%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:100%,Sub. Avg.:0.5,"
"
 Israel Adesanya Record: 21-1-0,"Height:6' 4""",Weight:185 lbs.,"Reach:80""",STANCE:Switch,"DOB:Jul 22, 1989  ",SLpM:3.94,Str. Acc.:50%,SApM:2.59,Str. Def:62%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:80%,Sub. Avg.:0.2,"
"
 Sam Adkins Record: 7-20-2,"Height:6' 3""",Weight:225 lbs.,Reach:--,STANCE:Orthodox,"DOB:Apr 26, 1965  ",SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Nick Agallar Record: 24-6-0,"Height:5' 8""",Weight:155 lbs.,Reach:--,STANCE:Orthodox,"DOB:Jan 13, 1979  ",SLpM:0.69,Str. Acc.:11%,SApM:4.56,Str. Def:42%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Mariya Agapova Record: 9-2-0,"Height:5' 6""",Weight:125 lbs.,"Reach:68""",STANCE:Southpaw,"DOB:Apr 07, 1997  ",SLpM:3.70,Str. Acc.:50%,SApM:4.15,Str. Def:47%,,TD Avg.:1.23,TD Acc.:66%,TD Def.:33%,Sub. Avg.:0.6,"
"
 Marcelo Aguiar Record: 2-3-1,"Height:5' 10""",Weight:170 lbs.,Reach:--,STANCE:Orthodox,DOB:--  ,SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
